frame;faceId;timeStamp;confidence;success; AU01_r; AU02_r; AU04_r; AU05_r; AU06_r; AU07_r; AU09_r; AU10_r; AU12_r; AU14_r; AU15_r; AU17_r; AU20_r; AU23_r; AU25_r; AU26_r; AU45_r; AU01_c; AU02_c; AU04_c; AU05_c; AU06_c; AU07_c; AU09_c; AU10_c; AU12_c; AU14_c; AU15_c; AU17_c; AU20_c; AU23_c; AU25_c; AU26_c; AU28_c; AU45_c;Class
43;;;;;0.64;0.92;1.11;0;0.63;1.63;0.65;1.58;0.48;1.29;0.15;1.67;0;0;1;1.8;0.23;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;Fear
44;;;;;1.13;0.92;0.03;0;0;0.48;0.13;1.34;0.17;0.5;0.15;1.45;0;0;0.38;1.23;0.14;0;1;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;Fear
45;;;;;0.49;0.15;0.03;0;0.22;1.11;0.03;0.9;0.55;0.68;0;0.94;0;0.35;0.3;1.93;0.14;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;Fear
46;;;;;0.49;0;0.59;0;0.81;1.78;0.86;1.62;1.02;0.96;0;1.23;0;0.35;1.07;2.43;1.57;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Fear
47;;;;;0;0.03;0.56;0;0.97;1.31;0.83;1.27;1.15;0.96;0.22;1.02;0.35;0.35;2.11;3.35;1.43;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Fear
48;;;;;0;0.03;0.77;0;0.75;1.48;1.12;1;0.67;0.57;0.22;1.42;0.35;0.49;2.11;3.65;1.43;0;1;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;Fear
49;;;;;0;0.03;0.2;0;0.17;1.08;0.3;0;0.14;0;0.22;1.23;0.35;0.49;1.04;2.72;0;0;0;1;0;0;1;1;0;0;0;0;1;0;1;0;0;0;1;Fear
50;;;;;0;0;0;0;0;0.82;0;0;0.01;0;0;0.44;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;Fear
1;;;;;0;0.16;0.43;0;3.32;2.03;0;3.8;3.42;3.02;0;0.45;0.86;0;2.11;1.15;0.34;1;1;0;0;1;1;0;1;1;1;0;0;1;0;1;1;0;0;Happy
2;;;;;0.4;0.05;0.61;0.45;2.37;2.19;0;2.41;2.16;1.58;0.34;1.4;0.35;0;2.06;1.43;0.24;0;1;1;0;1;1;0;1;1;0;0;0;0;0;1;1;1;0;Happy
3;;;;;0.4;0.12;0.49;0.5;2.01;1.94;0;2.1;1.98;1.15;0.61;1.71;0.39;0.06;1.88;1.05;0.13;1;1;0;1;1;1;0;1;1;0;1;1;0;1;0;1;0;0;Happy
4;;;;;0.4;0.12;0.34;0.05;2.22;2.02;0;1.8;2.45;1.03;0.61;1.98;0.38;0.3;0.94;1.19;0.1;0;1;0;0;1;1;0;1;1;0;0;0;0;0;1;1;0;0;Happy
5;;;;;0;0.12;0.18;0.05;2.27;1.58;0.15;1.75;2.91;0.97;0.27;0.9;0.38;0.3;1.61;1.16;0.08;0;1;0;0;1;1;0;1;1;0;0;0;0;0;0;1;0;0;Happy
6;;;;;0;0;0.16;0;2.27;2.69;0.55;1.17;2.56;0.75;0;0.44;0.38;0.29;1.16;1.16;0.11;1;1;0;0;1;1;0;1;1;0;0;0;0;0;0;1;0;0;Happy
7;;;;;0;0;0;0;1.55;1.94;0.55;0.93;2.15;1.04;0.07;0.19;0.47;0.41;0.94;1;0.11;0;1;0;0;1;1;0;1;1;1;0;0;0;0;0;0;0;0;Happy
