frame;faceId;timeStamp;confidence;success; AU01_r; AU02_r; AU04_r; AU05_r; AU06_r; AU07_r; AU09_r; AU10_r; AU12_r; AU14_r; AU15_r; AU17_r; AU20_r; AU23_r; AU25_r; AU26_r; AU45_r; AU01_c; AU02_c; AU04_c; AU05_c; AU06_c; AU07_c; AU09_c; AU10_c; AU12_c; AU14_c; AU15_c; AU17_c; AU20_c; AU23_c; AU25_c; AU26_c; AU28_c; AU45_c;Class
107;;;;;0.81;0.54;1.14;0;1.23;0.93;0;0.99;0.36;0.77;0.09;1.82;0.08;1.18;0.97;0.8;0.16;1;1;1;0;1;1;0;1;0;1;1;1;0;0;0;0;0;1;Angry
108;;;;;1.02;0.05;0.89;0;0.2;0.92;0;0.25;0;0;0.21;1.54;0;0.65;1.49;0.52;0.62;1;1;1;0;0;1;0;0;0;1;1;0;0;0;0;0;0;1;Angry
109;;;;;1.56;0.61;1.45;0.63;0.13;0.55;0;0.48;0;0.35;0.4;1.03;0;0.65;1.1;0.92;0.95;1;1;1;0;1;1;0;0;0;1;1;0;0;0;1;0;0;1;Angry
110;;;;;1.19;0.55;2.19;0.63;0.13;0.91;0;0.58;0.13;0.75;0.76;0.48;0;0.04;1.3;0.81;1.48;1;0;1;0;1;1;0;0;0;0;0;0;0;0;1;0;0;1;Angry
111;;;;;1.3;0.55;3.02;0.63;0.23;1.15;0;0.91;0.13;0.75;2.3;1.2;0.38;0;1.25;0.55;0.91;1;1;1;0;1;1;0;0;0;1;0;0;0;0;1;1;0;1;Angry
112;;;;;0.37;0;2.45;0;0.88;2.33;0.13;1.05;0.25;0.55;2.02;0.72;0.38;0;1.99;0.32;0.58;1;1;1;0;1;1;0;0;0;1;0;0;0;0;1;1;0;1;Angry
113;;;;;0.53;0.29;1.55;0;1.57;2.5;0.13;1.51;0.37;0.52;1.67;0.77;0.88;0;2.63;0.76;0.39;1;0;1;0;1;1;0;1;0;0;0;0;0;0;1;0;0;1;Angry
114;;;;;0.47;0.29;1.42;0;2.02;2;0.13;1.12;0.8;0.52;0.11;0.24;0.57;0;2.81;1.09;0.82;1;0;1;0;1;1;0;1;0;0;0;0;0;0;1;0;0;1;Angry
115;;;;;0.47;0.29;1.34;0;1.86;1.31;0.08;1.22;0.98;0.41;0.11;0.24;0.57;0.35;3.04;1.04;0.82;1;0;1;0;1;1;0;1;0;0;0;0;0;0;1;0;0;0;Angry
116;;;;;0.46;0.84;1.09;0;1.88;1.65;0.08;1.71;1.36;1;0.11;0.5;0.2;0.35;2.33;0.89;0.48;0;0;0;0;1;1;0;1;0;0;0;0;0;0;1;0;0;0;Angry
117;;;;;0.2;0.84;0.2;0;1.23;1.35;0.08;1.71;0.94;1;0;0.31;0.13;0.35;1.51;0.56;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;Angry
120;;;;;0.13;0.41;0.59;0.1;0.08;0.45;0.26;0.39;0;0.13;0.81;0.71;0.78;0.09;0;0.51;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;Angry
122;;;;;0.66;0.2;0.37;0.15;1.25;0.74;0.57;1.85;0.51;1.03;0.63;2.95;0;0.12;0.32;0;0.19;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;Angry
